Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа процессов,Примеры,Примечания
A,,,,,Процесс инициирования,"Процесс формирования задания на проектирование, определения исходных данных при проектировании и ожидаемых результатов процесса проектирования для старта работ по проектированию","ГОСТ Р ИСО 21500-2014
ГОСТ Р 54871-2011
ГОСТ Р 54869-2011",По виду процессов,,,Сформулировано на основании результата анализа источников
,AA,,,,Разработка частного технического задания на проектирование,"Процесс разработки документа, оформленного в установленном порядке, содержащего цели, требования, основные исходные данные и порядок выполнения работ","ГОСТ Р 57193-2016
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 21504-2016
ГОСТ Р ИСО 21500-2014",По виду процессов,Инициирование,,Сформулировано на основании результата анализа источников
,,AAA,,,Анализ технического задания на проектирование в составе договора,"Деятельность, предпринимаемая для установления пригодности, адекватности, результативности технического задания на проектирование для достижения установленных целей","ГОСТ Р ИСО 21500-2014
ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 10006-2019",,Инициирование,,Сформулировано на основании результата анализа источников
,,AAB,,,"Выборка требований, применимых к объекту проектирования","Процесс выявления требований технического задания, применимых к объекту проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 10005-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Инициирование,,Сформулировано на основании результата анализа источников
,,AAC,,,Формирование частного технического задания на проектирование,Процесс написания и оформления в установленном порядке частного технического задания на проектирование,"СП 86.13330.2014
ГОСТ Р 54869-2011",По виду процессов,Инициирование,,Сформулировано на основании результата анализа источников
,,,,AAC010,Определение необходимого уровня детализации ИМ,,"Стандарт
Госкорпорации «Росатом» СТО 95 12033-2018 ",,,,
,,AAD,,,Корректировка частного технического задания на проектирование,"Деятельность, предпринимаемая для изменения требований частного технического задания на проектирование объекта по результатам оценки исходных данных и ожидаемых результатов проектирования","ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015
ГОСТ Р 54147-2010",,Инициирование,,Сформулировано на основании результата анализа источников
,,AAE,,,Утверждение частного технического задания на проектирование,Официальное удостоверение уполномоченного должностного лица о введении в действие частного технического задания,"ГОСТ Р 54147-2010
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011
Постановление Правительства РФ от 16.02.2008 N 87",,Инициирование,,Сформулировано на основании результата анализа источников
,AB,,,,Определение исходных данных для проектирования,"Процесс определения исходных данных, которые будут применяться по отношению к процессу проектирования и результату (или результатам) процесса проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 10005-2019
ГОСТ Р ИСО 21500-2014",По виду процессов,Инициирование,,Сформулировано на основании результата анализа источников
,,ABA,,,Определение требований для проектирования,"Процесс определения требований, которые будут применяться по отношению к процессу проектирования и результату (или результатам) процесса проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Инициирование,,Сформулировано на основании результата анализа источников
